College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
"Amity University, Noida",Uttar Pradesh,Pharmacy,654,670,8.2,8,7.9,8.1,8.9,7.6,8.7
"Integral University, Lucknow",Uttar Pradesh,Pharmacy,654,670,7.4,7.6,7.3,7.4,8,6.5,7.4
Sam Higginbottom University Of Agriculture Technology And,Uttar Pradesh,Pharmacy,654,670,7.2,7.6,6.6,7.5,7.5,6,7.9
Banaras Hindu University,Uttar Pradesh,Pharmacy,654,670,8.3,8.7,8.1,8.4,8.8,7.2,8.6
Indian Institute Of Technology,Uttar Pradesh,Pharmacy,654,670,8.5,8.5,8.2,8.1,7.6,9.1,9.2
Aligarh Muslim University,Uttar Pradesh,Pharmacy,654,670,8.3,8.8,7.9,8.5,8.8,7.2,8.6
"Amity University, Lucknow",Uttar Pradesh,Pharmacy,654,670,8.1,8,7.6,8.1,8.8,7.1,8.8
"Inmantec Institutions, Ghaziabad",Uttar Pradesh,Pharmacy,654,670,8.6,9.1,7.9,9.2,8.6,8.2,8.7
Teerthanker Mahaveer University,Uttar Pradesh,Pharmacy,654,670,8.1,8.3,7.6,8.2,8.7,7.3,8.3
Nirmala Group Of Institutions,Uttar Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Sunder Deep Pharmacy College,Uttar Pradesh,Pharmacy,654,670,9.2,9.1,8.8,9.9,9.2,8.7,9.3
"Sr College Of Pharmacy, Jhansi",Uttar Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Institute Of Technology And Science,Uttar Pradesh,Pharmacy,654,670,8.2,8.6,7.5,8.3,8.6,7.9,8.1
Spectrum Institute Of Pharmaceutical Sciences & Research,Uttar Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
"Sd College Of Pharmacy And Vocational Studies,",Uttar Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
"Teerthanker Mahaveer University, College Of Architecture",Uttar Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Dr Mc Saxena College Of Pharmacy,Uttar Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Bbs Institute Of Pharmaceutical And Allied Sciences,Uttar Pradesh,Pharmacy,654,670,4.7,7,4,7,6,2,2
Dayanand Dinanath College,Uttar Pradesh,Pharmacy,654,670,6.9,6,5.5,8.5,7.5,6.5,7.5
Chhatrapati Shahu Ji Maharaj University,Uttar Pradesh,Pharmacy,654,670,7.1,7.2,6.6,7.5,8,5.8,7.7
J.S. University,Uttar Pradesh,Pharmacy,654,670,8.5,8.5,7.8,8.7,9,8.2,8.6
"Advance Institute Of Biotech And Paramedical Sciences,",Uttar Pradesh,Pharmacy,654,670,7,7.7,4.3,8.5,6.7,7.5,7
"Monad University, Hapur",Uttar Pradesh,Pharmacy,654,670,8,7.6,7.4,8.5,8,8.2,8.1
Sharda University,Uttar Pradesh,Pharmacy,654,670,7.9,7.7,7.6,7.9,8.6,6.9,8.6
Galgotias University,Uttar Pradesh,Pharmacy,654,670,7.6,7.9,6.9,7.9,7.5,7.7,7.8
"Rama University, Kanpur",Uttar Pradesh,Pharmacy,654,670,6.7,6.6,6.1,7.3,6.5,6.6,7.1
"Gla University, Mathura",Uttar Pradesh,Pharmacy,654,670,8.2,8.2,7.9,8.3,8.3,8.2,8.1
Sanskriti University,Uttar Pradesh,Pharmacy,654,670,7,7.2,6.7,7,7.5,6.9,6.8
"Iftm University, Moradabad",Uttar Pradesh,Pharmacy,654,670,7.8,7.9,7.5,8.1,8,6.8,8.3
"Jamia Hamdard University, New Delhi",Delhi Ncr,Pharmacy,654,670,7.5,8.1,7.3,7.8,8.1,6.5,7.4
